Acre,Crop,Rainfall,Humidity,Temperature,PH,Fertilizer,Yield,Rainfall_norm,Humidity_norm,Temperature_norm,PH_norm,Fertilizer_norm,Factor_Sum
2.5,Carrot,786.66,65.26,25.01,6.47,52.79,0.9378109012999445,0.6444800053341334,0.17539179726575546,0.0010000000000001564,0.4849999999999999,0.56975,0.3751243605199778
4.8,Pumpkin,623.08,78.03,30.8,5.57,32.4,1.582085924159048,0.3718057708656299,0.6012004001333779,0.5800000000000001,0.03500000000000014,0.05999999999999996,0.32960123419980164
3.93,Banana,770.81,81.17,33.65,6.7,66.96,2.9183876155158184,0.6180593755730025,0.705901967322441,0.8649999999999999,0.6000000000000001,0.9239999999999998,0.7425922685790887
3.39,Groundnut,745.26,71.84,27.21,6,61.44,1.5100876496719255,0.5754696537814005,0.3947982660886964,0.22100000000000009,0.25,0.7859999999999999,0.44545358397401935
1.62,Wheat,636.55,61.18,28.33,6.7,47.7,0.5861502104106213,0.39425913887083053,0.03934644881627209,0.33299999999999985,0.6000000000000001,0.44250000000000006,0.3618211175374205
1.62,Carrot,584,87.26,30.87,6.73,51.9,0.9607028725284786,0.30666266606657666,0.9089696565521844,0.5870000000000001,0.6150000000000002,0.5475,0.5930264645237522
1.23,Mustard,644.21,81.92,27.47,7.12,31.3,0.5479497539677801,0.40702772082479044,0.7309103034344784,0.2469999999999999,0.81,0.032500000000000015,0.4454876048518538
4.46,Mustard,744.35,68.15,33.47,5.96,49.92,2.1592733307022844,0.5739527595806038,0.27175725241747273,0.8469999999999999,0.22999999999999998,0.49800000000000005,0.4841420023996153
3.4,Spinach,656.88,74.91,28.67,6.43,47.05,1.4848230286142898,0.4281475554666533,0.4971657219073024,0.36700000000000016,0.46499999999999986,0.4262499999999999,0.43671265547479116
3.83,Banana,558.14,60.83,30.82,7.42,44.98,1.6911227825184723,0.2635562000966812,0.027675891963987943,0.5820000000000001,0.96,0.37449999999999994,0.44154641841213377
1.08,Pulses,856.58,70.18,27.26,6.95,62.61,0.6192130975453256,0.7610308212898601,0.33944648216072054,0.22600000000000015,0.7250000000000001,0.81525,0.5733454606901163
4.88,Cabbage,718.88,75.68,25.41,7.45,37.28,2.198281241993079,0.5314963911253354,0.5228409469823277,0.041000000000000016,0.9750000000000001,0.18200000000000002,0.4504674676215326
4.33,Pumpkin,440.61,75.52,26.74,7.35,37.05,1.6111058069058166,0.06764347985531169,0.5175058352784261,0.17399999999999985,0.9249999999999998,0.17624999999999993,0.3720798630267475
1.85,Tomato,620.99,66.25,25.46,6.72,50.87,0.6491556448783952,0.36832191495390976,0.20840280093364458,0.04600000000000008,0.6099999999999999,0.5217499999999999,0.35089494317751085
1.73,Carrot,930.95,83.3,29.69,6.03,57.49,1.066778570227084,0.8849994165791535,0.776925641880627,0.46900000000000014,0.2650000000000001,0.68725,0.6166350116919561
1.73,Spinach,853.14,68.97,30.87,7.01,30.9,0.836938129393706,0.7552966278275074,0.29909969989996665,0.5870000000000001,0.7549999999999999,0.022499999999999964,0.48377926554549483
2.22,Papaya,593.95,77.41,25.45,6.9,51.83,0.9743692463219101,0.323248487273091,0.5805268422807602,0.04499999999999993,0.7000000000000002,0.54575,0.4389050659107703
3.1,Banana,962.91,68.15,25.9,6.68,41.95,1.3570444226544227,0.9382740744444998,0.27175725241747273,0.08999999999999986,0.5899999999999999,0.29875000000000007,0.4377562653723944
2.73,Mustard,445.96,72.76,29.86,6.9,60.28,1.3349900068643845,0.0765614842226334,0.4254751583861289,0.48599999999999993,0.7000000000000002,0.757,0.48900732852175255
2.16,Papaya,976.74,66.23,32.99,6.73,48.75,1.318383407995428,0.9613275324632028,0.20773591197065705,0.7990000000000002,0.6150000000000002,0.46875,0.6103626888867721
3.45,Tomato,547.42,78.99,31.28,6.54,63.36,1.9740195671354706,0.24568685302795415,0.6332110703567856,0.6280000000000001,0.52,0.834,0.572179584676948
1.56,Maize,405.46,72.77,26.05,6.33,45.88,0.4217803076982389,0.009051357703655559,0.42580860286762245,0.10500000000000007,0.41500000000000004,0.3970000000000001,0.27037199211425567
2.17,Tomato,660.28,60.48,33.88,5.59,63.08,0.9590620567996836,0.43381507226083904,0.0160053351117038,0.8880000000000002,0.04499999999999993,0.827,0.4419640814745086
2.47,Cabbage,615.38,60.84,34.17,7.23,58.66,1.425427045252359,0.3589705122435032,0.028009336445481946,0.9170000000000001,0.8650000000000002,0.7164999999999999,0.5770959697377971
2.82,Mustard,723.45,74.13,28.25,7.23,63.13,1.7080859865872011,0.5391142004634029,0.47115705235078353,0.325,0.8650000000000002,0.82825,0.6057042505628373
4.14,Tomato,878.06,65.5,31.16,6.69,62.5,2.487088983927349,0.7968361920954808,0.18339446482160723,0.616,0.5950000000000002,0.8125,0.6007461313834177
1.8,Pulses,905.46,77.55,29.92,6.04,49.45,0.9633437189321316,0.8425097097898018,0.5851950650216738,0.49200000000000016,0.27,0.48625000000000007,0.5351909549622953
3.06,Cotton,640.74,72.25,34.42,5.56,44.72,1.3156243619310486,0.4012435198613125,0.4084694898299434,0.9420000000000002,0.029999999999999805,0.368,0.4299426019382512
3.37,Pulses,657.91,79.63,30.09,5.5,60.61,1.5897408818730863,0.42986447967195074,0.6545515171723908,0.509,0,0.76525,0.4717331993688683
1.19,Sugarcane,488.91,88.57,34.6,5.65,44.46,0.5943589327901408,0.14815555666683342,0.9526508836278759,0.9600000000000002,0.07500000000000018,0.36150000000000004,0.4994612880589419
3.43,Sorghum,428.53,75.86,26.99,6.22,33.58,0.8402471505706348,0.04750712606891033,0.5288429476492165,0.19899999999999984,0.3599999999999999,0.08949999999999995,0.2449700147436253
1.68,Onion,784.73,83.62,28.46,5.88,64.35,0.9487325303848595,0.6412628560950809,0.7875958652884297,0.3460000000000001,0.18999999999999995,0.8587499999999999,0.5647217442767021
1.26,Banana,438.66,82.59,32.81,6.03,45.89,0.5697453071461388,0.06439299228217574,0.7532510836945651,0.7810000000000002,0.2650000000000001,0.39725,0.45217881519534825
4.8,Brinjal,840.3,87.65,32.84,6.9,35.3,3.1414727123293233,0.733893417345935,0.9219739913304438,0.7840000000000004,0.7000000000000002,0.13249999999999992,0.6544734817352758
4.86,Tomato,723.45,66.42,32.32,7.42,55.86,3.0051183619701347,0.5391142004634029,0.21407135711903977,0.732,0.96,0.6465,0.6183371115164886
4.23,Rice,519.15,84.82,33.6,5.91,65.59,2.5218602834549144,0.19856311780100347,0.8276092030676891,0.8600000000000001,0.20500000000000007,0.88975,0.5961844641737386
2.22,Wheat,723.71,87.17,32.03,6.43,64.44,1.5426852172312011,0.5395475988064877,0.9059686562187398,0.7030000000000001,0.46499999999999986,0.861,0.6949032510050455
1.39,Cotton,509.8,71.78,31.36,7.48,52.18,0.7662444627370498,0.18297744661699258,0.39279759919973334,0.6359999999999999,0.9900000000000002,0.5545,0.5512550091633452
3.74,Groundnut,663.24,69.41,29.59,7.36,33.52,1.6676812612875818,0.43874914570518914,0.3137712570856952,0.45899999999999996,0.9300000000000002,0.08800000000000008,0.44590408055817693
2.76,Peas,879.74,88.56,29.67,6.2,57.86,1.8025306363202898,0.7996366121584904,0.9523174391463823,0.4670000000000002,0.3500000000000001,0.6965,0.6530908102609746
1.49,Pumpkin,677.15,78.83,29.06,6.14,54.35,0.7225194508825067,0.46193595706022567,0.6278759586528844,0.40599999999999986,0.31999999999999984,0.60875,0.48491238314262197
2.98,Sorghum,489.22,71.42,31.2,5.98,38.41,0.953430675631805,0.14867230084512684,0.38079359786595546,0.6199999999999999,0.2400000000000002,0.2102499999999999,0.3199431797422164
